target_feature_name,reporter_slug,marker,short_name,biological_category,screen_ids,measurement_family,measured_signal,inferred_measurement_compartment,numerical_descriptor,official_feature_type,official_compartment,official_channel,official_unit,official_software,official_version,selected_in_technical_core,selection_rule,plain_language_meaning
op_mcherry_intensity_max_min,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_max_min,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_min fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_max_max,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_max_max,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_max fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_mean_mean,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_mean_mean,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_mean fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_mean_median,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_mean_median,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_median fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_mean_std,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_mean_std,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_std fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_mean_sum,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_mean_sum,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_sum fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_mean_min,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_mean_min,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_min fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_mean_max,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_mean_max,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_max fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_range_mean,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_range_mean,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_mean fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_range_median,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_range_median,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_median fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_range_std,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_range_std,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_std fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_range_sum,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_range_sum,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_sum fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_range_min,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_range_min,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_min fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_mcherry_intensity_range_max,fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,Biohub_OPS0047;Biohub_OPS0067,OrganelleProfiler intensity descriptor,fluorescence intensity,mcherry,intensity_range_max,intensity,mcherry,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_max fluorescence-intensity statistic for Fe2+, FeRhoNox live-cell dye measured on mcherry. It is one numerical descriptor of the reporter readout, not a separate biological target."
