reporter_slug,baseline,absolute:all gates:looser,absolute:all gates:tighter,absolute:recoverability_min:looser,absolute:recoverability_min:tighter,absolute:magnitude_spearman_min:looser,absolute:magnitude_spearman_min:tighter,absolute:top5pct_quantitative_min:looser,absolute:top5pct_quantitative_min:tighter,absolute:top5pct_ranking_min:looser,absolute:top5pct_ranking_min:tighter,absolute:reliability_min:looser,absolute:reliability_min:tighter,absolute:measurement_recoverability_max_exclusive:looser,absolute:measurement_recoverability_max_exclusive:tighter,absolute:variance_ratio_min:looser,absolute:variance_ratio_min:tighter,absolute:variance_ratio_max:looser,absolute:variance_ratio_max:tighter,relative:all gates:looser,relative:all gates:tighter,relative:recoverability_min:looser,relative:recoverability_min:tighter,relative:magnitude_spearman_min:looser,relative:magnitude_spearman_min:tighter,relative:top5pct_quantitative_min:looser,relative:top5pct_quantitative_min:tighter,relative:top5pct_ranking_min:looser,relative:top5pct_ranking_min:tighter,relative:reliability_min:looser,relative:reliability_min:tighter,relative:measurement_recoverability_max_exclusive:looser,relative:measurement_recoverability_max_exclusive:tighter,relative:variance_ratio_min:looser,relative:variance_ratio_min:tighter,relative:variance_ratio_max:looser,relative:variance_ratio_max:tighter
fe2+_ferhonox_live-cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
recycling_endosome_tfrc,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
er_golgi_cope,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
chaperones_hspa1b,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
nucleolus-gc_npm3,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
nuclei_nucleolive_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
endosome_vps35,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
er_sec61b,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
er_golgi_bridge_vapa,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
mitochondria_chromalive_561_excitation,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
peroxisome_peroxi_spy650_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
chromalive_488_excitation,quantitative_proxy,quantitative_proxy,not_identifiable,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,not_identifiable,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,not_identifiable,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,not_identifiable,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
chromatin_h2bc21,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
plasma_membrane_atp1b3,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
5xupre,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
f-actin_phalloidin,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,ranking_proxy,quantitative_proxy,unresolved,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
mitochondria_tomm70a,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
lysosome_lamp1,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
autophagosome_atg101,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,ranking_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
nuclear_speckles_srrm2,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy
proteasome_psmb7,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
oxidative_stress_cellrox_live-cell_dye,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
er_ncln,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
trans-golgi_vamp3,ranking_proxy,quantitative_proxy,unresolved,quantitative_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,unresolved,quantitative_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
p21,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
mitochondria_tomm20,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
p53,measurement_required,unresolved,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,unresolved,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,unresolved,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,unresolved,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required
