feature_name,phase172_position,aggregation,category,metric,op_units_corrected,organelle,source,unit,zscored_per_batch,official_feature_id,official_feature_name,official_feature_type,official_compartment,official_channel,official_unit,official_software,official_version,in_phase_446d_candidate_panel,in_phase_172d_harmonized_panel,plain_language_meaning
op_phase2d_tubular_distance_from_nucleus_std,10,std,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_std,op_phase2d_tubular_distance_from_nucleus_std,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by std; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_min,11,min,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_min,op_phase2d_tubular_distance_from_nucleus_min,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by min; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_max,12,max,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_max,op_phase2d_tubular_distance_from_nucleus_max,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by max; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_count,13,count,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_count,op_phase2d_tubular_distance_from_nucleus_count,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by count; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_sum,14,sum,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_sum,op_phase2d_tubular_distance_from_nucleus_centroid_sum,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_mean,15,mean,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_mean,op_phase2d_tubular_distance_from_nucleus_centroid_mean,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_median,16,median,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_median,op_phase2d_tubular_distance_from_nucleus_centroid_median,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_std,17,std,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_std,op_phase2d_tubular_distance_from_nucleus_centroid_std,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by std; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_min,18,min,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_min,op_phase2d_tubular_distance_from_nucleus_centroid_min,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by min; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_max,19,max,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_max,op_phase2d_tubular_distance_from_nucleus_centroid_max,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by max; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_centroid_count,20,count,localization,distance_from_nucleus_centroid,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_centroid_count,op_phase2d_tubular_distance_from_nucleus_centroid_count,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus_centroid, aggregated by count; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_sum,21,sum,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_sum,op_phase2d_tubular_normalized_radial_position_sum,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by sum; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_mean,22,mean,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_mean,op_phase2d_tubular_normalized_radial_position_mean,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by mean; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_median,23,median,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_median,op_phase2d_tubular_normalized_radial_position_median,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by median; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_std,24,std,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_std,op_phase2d_tubular_normalized_radial_position_std,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by std; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_min,25,min,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_min,op_phase2d_tubular_normalized_radial_position_min,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by min; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_max,26,max,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_max,op_phase2d_tubular_normalized_radial_position_max,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by max; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_normalized_radial_position_count,27,count,localization,normalized_radial_position,False,phase2d_tubular,organelle_profiler,ratio,none,op_phase2d_tubular_normalized_radial_position_count,op_phase2d_tubular_normalized_radial_position_count,correlation,phase2d_tubular,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=normalized_radial_position, aggregated by count; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_sum,28,sum,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_sum,op_phase2d_vesicular_dark_distance_from_cell_edge_sum,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_mean,29,mean,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_mean,op_phase2d_vesicular_dark_distance_from_cell_edge_mean,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_median,30,median,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_median,op_phase2d_vesicular_dark_distance_from_cell_edge_median,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_std,31,std,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_std,op_phase2d_vesicular_dark_distance_from_cell_edge_std,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by std; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_min,32,min,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_min,op_phase2d_vesicular_dark_distance_from_cell_edge_min,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by min; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_max,33,max,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_max,op_phase2d_vesicular_dark_distance_from_cell_edge_max,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by max; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_cell_edge_count,34,count,localization,distance_from_cell_edge,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_cell_edge_count,op_phase2d_vesicular_dark_distance_from_cell_edge_count,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_cell_edge, aggregated by count; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_sum,35,sum,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_sum,op_phase2d_vesicular_dark_distance_from_nucleus_sum,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_mean,36,mean,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_mean,op_phase2d_vesicular_dark_distance_from_nucleus_mean,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_median,37,median,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_median,op_phase2d_vesicular_dark_distance_from_nucleus_median,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_std,38,std,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_std,op_phase2d_vesicular_dark_distance_from_nucleus_std,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by std; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_min,39,min,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_min,op_phase2d_vesicular_dark_distance_from_nucleus_min,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by min; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_max,40,max,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_max,op_phase2d_vesicular_dark_distance_from_nucleus_max,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by max; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_count,41,count,localization,distance_from_nucleus,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_count,op_phase2d_vesicular_dark_distance_from_nucleus_count,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus, aggregated by count; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_sum,42,sum,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_sum,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_sum,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_mean,43,mean,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_mean,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_mean,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_median,44,median,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_median,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_median,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_std,45,std,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_std,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_std,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by std; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_min,46,min,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_min,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_min,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by min; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_max,47,max,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_max,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_max,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by max; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_distance_from_nucleus_centroid_count,48,count,localization,distance_from_nucleus_centroid,True,phase2d_vesicular_dark,organelle_profiler,um,none,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_count,op_phase2d_vesicular_dark_distance_from_nucleus_centroid_count,correlation,phase2d_vesicular_dark,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=distance_from_nucleus_centroid, aggregated by count; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_sum,49,sum,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_sum,op_phase2d_vesicular_dark_normalized_radial_position_sum,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by sum; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_mean,50,mean,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_mean,op_phase2d_vesicular_dark_normalized_radial_position_mean,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by mean; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_median,51,median,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_median,op_phase2d_vesicular_dark_normalized_radial_position_median,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by median; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_std,52,std,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_std,op_phase2d_vesicular_dark_normalized_radial_position_std,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by std; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_min,53,min,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_min,op_phase2d_vesicular_dark_normalized_radial_position_min,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by min; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_max,54,max,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_max,op_phase2d_vesicular_dark_normalized_radial_position_max,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by max; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_dark_normalized_radial_position_count,55,count,localization,normalized_radial_position,False,phase2d_vesicular_dark,organelle_profiler,ratio,none,op_phase2d_vesicular_dark_normalized_radial_position_count,op_phase2d_vesicular_dark_normalized_radial_position_count,correlation,phase2d_vesicular_dark,,ratio,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular_dark; metric=normalized_radial_position, aggregated by count; unit=ratio. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_distance_from_cell_edge_sum,56,sum,localization,distance_from_cell_edge,True,phase2d_vesicular,organelle_profiler,um,none,op_phase2d_vesicular_distance_from_cell_edge_sum,op_phase2d_vesicular_distance_from_cell_edge_sum,correlation,phase2d_vesicular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular; metric=distance_from_cell_edge, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_distance_from_cell_edge_mean,57,mean,localization,distance_from_cell_edge,True,phase2d_vesicular,organelle_profiler,um,none,op_phase2d_vesicular_distance_from_cell_edge_mean,op_phase2d_vesicular_distance_from_cell_edge_mean,correlation,phase2d_vesicular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular; metric=distance_from_cell_edge, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_vesicular_distance_from_cell_edge_median,58,median,localization,distance_from_cell_edge,True,phase2d_vesicular,organelle_profiler,um,none,op_phase2d_vesicular_distance_from_cell_edge_median,op_phase2d_vesicular_distance_from_cell_edge_median,correlation,phase2d_vesicular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_vesicular; metric=distance_from_cell_edge, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
