target_feature_name,reporter_slug,marker,short_name,biological_category,screen_ids,measurement_family,measured_signal,inferred_measurement_compartment,numerical_descriptor,official_feature_type,official_compartment,official_channel,official_unit,official_software,official_version,selected_in_technical_core,selection_rule,plain_language_meaning
op_gfp_intensity_max_min,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_max_min,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_min fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_max_max,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_max_max,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_max fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_mean_mean,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_mean_mean,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_mean fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_mean_median,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_mean_median,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_median fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_mean_std,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_mean_std,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_std fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_mean_sum,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_mean_sum,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_sum fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_mean_min,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_mean_min,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_min fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_mean_max,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_mean_max,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_mean_max fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_range_mean,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_range_mean,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_mean fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_range_median,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_range_median,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_median fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_range_std,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_range_std,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_std fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_range_sum,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_range_sum,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_sum fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_range_min,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_range_min,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_min fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_range_max,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_range_max,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_range_max fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
